component,state,installation,n_fire_sites,lon,lat,matched_name,coord_source,match_score
Air Force,Ohio,RICKENBACKER ANGB,1,-82.9435,39.81519,RICKENBACKER AIR NATIONAL GUARD BASE,EWG_2019,89.47368421052632
Air Force,Ohio,SPRINGFIELD-BECKLEY MUNICIPAL AIRPORT,3,-83.831551,39.84899,SPRINGFIELD-BECKLEY MUNICIPAL AIRPORT,EWG_2019,100.0
Air Force,Ohio,TOLEDO EXPRESS AIRPORT,5,-83.80928,41.58783,TOLEDO EXPRESS AIRPORT,EWG_2019,100.0
Air Force,Ohio,WRIGHT PATTERSON,5,-84.05375,39.81373,WRIGHT PATTERSON,EWG_2019,100.0
Air Force,Oklahoma,AIR FORCE PLANT 3,1,-95.87458,36.18053,AIR FORCE PLANT 3,EWG_2019,100.0
Air Force,Oklahoma,ALTUS AIR FORCE BASE,4,-99.28812,34.65218,ALTUS AIR FORCE BASE,EWG_2019,100.0
Air Force,Oklahoma,TINKER,3,-97.39025,35.41465,TINKER,EWG_2019,100.0
Air Force,Oklahoma,VANCE,2,-97.91306,36.3393,VANCE,EWG_2019,100.0
Air Force,Oklahoma,WILL ROGERS WORLD,1,-97.60056,35.39306,WILL ROGERS WORLD,EWG_2019,100.0
Air Force,Oregon,COOS HEAD AIR NATIONAL GUARD STATION,4,-124.340082,43.347814,COOS HEAD AIR NATIONAL GUARD STATION,EWG_2019,100.0
Air Force,Oregon,PORTLAND,1,-122.61591,45.53247,PORTLAND,EWG_2019,100.0
Air Force,South Carolina,JB-CHARLESTON-AIR,6,-80.06915,32.89098,JB-CHARLESTON-AIR,EWG_2019,100.0
Air Force,South Carolina,MCENTIRE AIR GUARD BASE,3,-80.80113,33.94031,MCENTIRE AIR GUARD BASE,EWG_2019,100.0
Air Force,South Carolina,MYRTLE BEACH AFB,5,-78.93412,33.67356,MYRTLE BEACH AIR FORCE BASE,EWG_2019,100.0
Air Force,South Carolina,SHAW AIR FORCE BASE,3,-80.46924,33.97387,SHAW AIR FORCE BASE,EWG_2019,100.0
Air Force,South Dakota,ELLSWORTH AIR FORCE BASE,1,-103.06823,44.11249,ELLSWORTH AIR FORCE BASE,EWG_2019,100.0
Air Force,South Dakota,JOE FOSS FIELD,2,-96.74354,43.57251,JOE FOSS FIELD,EWG_2019,100.0
Air Force,Tennessee,ARNOLD,2,-86.04941,35.37882,ARNOLD,EWG_2019,100.0
Air Force,Tennessee,MCGHEE/TYSON,3,-83.99389,35.81083,MCGHEE/TYSON,EWG_2019,100.0
Air Force,Texas,AIR FORCE PLANT 4,5,-97.449722,32.772222,AIR FORCE PLANT 4,EWG_2019,100.0
Air Force,Texas,BERGSTROM AFB,2,-97.74306,30.26715,BERGSTROM AIR FORCE BASE,EWG_2019,100.0
Air Force,Texas,BROOKS CITY-BASE,4,-98.435172,29.341659,BROOKS CITY-BASE,EWG_2019,100.0
Air Force,Texas,CARSWELL AFB,2,-97.441305,32.773413,CARSWELL AIR FORCE BASE,EWG_2019,100.0
Air Force,Texas,DYESS,3,-99.84187,32.42238,DYESS,EWG_2019,100.0
Air Force,Texas,JBSA-FORT SAM HOUSTON,4,-98.45454,29.4499,JBSA-FORT SAM HOUSTON,EWG_2019,100.0
Air Force,Texas,JBSA-LACKLAND,4,-98.45454,29.4499,JBSA-FORT SAM HOUSTON,EWG_2019,100.0
Air Force,Texas,JBSA-RANDOLPH,5,-98.45454,29.4499,JBSA-FORT SAM HOUSTON,EWG_2019,100.0
Air Force,Texas,KELLY AFB,2,-98.580833,29.383333,KELLY AIR FORCE BASE,EWG_2019,100.0
Air Force,Texas,LAUGHLIN,1,-100.78308,29.35656,LAUGHLIN,EWG_2019,100.0
Air Force,Texas,REESE AFB,3,-102.02975,33.59358,REESE AIR FORCE BASE,EWG_2019,100.0
Air Force,Texas,SHEPPARD,3,-98.51073,33.96857,SHEPPARD,EWG_2019,100.0
Air Force,Utah,HILL AIR FORCE BASE,3,-111.99398,41.13211,HILL AIR FORCE BASE,EWG_2019,100.0
Air Force,Utah,SALT LAKE CITY,3,-111.97907,40.78994,SALT LAKE CITY,EWG_2019,100.0
Air Force,Vermont,BURLINGTON INTERNATIONAL AIRPORT,1,-73.1516,44.47069,BURLINGTON INTERNATIONAL AIRPORT,EWG_2019,100.0
Air Force,Virginia,JBLE-EUSTIS,1,-76.57757,37.15251,JBLE-EUSTIS,EWG_2019,100.0
Air Force,Virginia,JBLE-LANGLEY,1,-76.57757,37.15251,JBLE-EUSTIS,EWG_2019,100.0
Air Force,Wake Island,WAKE ISLAND AIRFIELD,3,,,,,
Air Force,Washington,FAIRCHILD AIR FORCE BASE,2,-117.64386,47.61826,FAIRCHILD AIR FORCE BASE,EWG_2019,100.0
Air Force,Washington,FOUR LAKES COMM AIR GUARD STATION,1,-117.546299,47.542049,FOUR LAKES COMM AIR GUARD STATION,EWG_2019,100.0
Air Force,West Virginia,EWVRA SHEPHERD FIELD (MARTINSBURG),1,-77.81875,39.43355,EWVRA SHEPHERD FIELD (MARTINSBURG),EWG_2019,100.0
Air Force,West Virginia,YEAGER ANG,1,-81.586877,38.372548,YEAGER AIR NATIONAL GUARD,EWG_2019,100.0
Air Force,Wisconsin,GEN B MITCHELL,1,-87.89665,42.94755,GEN B MITCHELL,EWG_2019,100.0
Air Force,Wisconsin,GENERAL MITCHELL AIR FORCE BASE,1,-87.89665,42.94755,GENERAL MITCHELL AIR FORCE BASE,EWG_2019,100.0
Air Force,Wisconsin,VOLK FIELD AIR GUARD BASE,1,-90.263161,43.926224,VOLK FIELD AIR GUARD BASE,EWG_2019,100.0
Air Force,Wyoming,FRANCIS E WARREN AIR FORCE BASE,2,-104.86298,41.14469,FRANCIS E WARREN AIR FORCE BASE,EWG_2019,100.0
Army,Alabama,FORT MCCLELLAN,2,-85.789846,33.725725,FORT MCCLELLAN,EWG_2019,100.0
Army,Alabama,FORT RUCKER,1,-85.712656,31.3375,FORT RUCKER,EWG_2019,100.0
Army,Alaska,FORT GREELY,3,-145.700694,63.958339,FORT GREELY,EWG_2019,100.0
Army,Alaska,FORT WAINWRIGHT,1,-147.607934,64.841829,FORT WAINWRIGHT,EWG_2019,100.0
Army,Alaska,HAINES PIPELINE,2,-135.45261,59.27531,HAINES PIPELINE,EWG_2019,100.0
Army,Arizona,FORT HUACHUCA,1,-110.34648,31.56357,FORT HUACHUCA,EWG_2019,100.0
Army,Arizona,YUMA PROVING GROUND,1,-114.43922,32.85987,YUMA PROVING GROUND,EWG_2019,100.0
Army,Arkansas,FORT CHAFFEE,1,-94.274959,35.303349,FORT CHAFFEE,EWG_2019,100.0
Army,California,FORT HUNTER LIGGETT,2,-121.23693,36.00868,FORT HUNTER LIGGETT,EWG_2019,100.0
Army,California,FORT ORD,1,-121.69136,36.62661,FORT ORD,EWG_2019,100.0
Army,California,MTC-H CAMP ROBERTS,1,-120.743466,35.816232,MANEUVER TRAINING CENTER - CAMP ROBERTS,EWG_2019,80.0
Army,California,NATIONAL TRAINING CENTER AND FORT IRWIN,1,-116.691445,35.26326,NATIONAL TRAINING CENTER AND FORT IRWIN,EWG_2019,100.0
Army,California,PARKS RESERVE FORCES TRAINING AREA,1,-121.907614,37.715335,PARKS RESERVE FORCES TRAINING AREA,EWG_2019,100.0
Army,California,SACRAMENTO ARMY DEPOT,1,-121.395868,38.524514,SACRAMENTO ARMY DEPOT,EWG_2019,100.0
Army,California,SIERRA ARMY DEPOT,2,-120.12617,40.14675,SIERRA ARMY DEPOT,EWG_2019,100.0
Army,California,TS AFRC LOS ALAMITOS,1,-118.05567,33.7907,TS AFRC LOS ALAMITOS,EWG_2019,100.0
Army,Colorado,FORT CARSON,1,-104.79064,38.741374,FORT CARSON,EWG_2019,100.0
Army,Georgia,FORT BENNING,2,-84.808617,32.373421,FORT BENNING,EWG_2019,100.0
Army,Georgia,FORT STEWART,2,-81.607774,31.864719,FORT STEWART,EWG_2019,100.0
Army,Georgia,HUNTER ARMY AIRFIELD,1,-81.631887,31.870755,HUNTER ARMY AIRFIELD,EWG_2019,100.0
Army,Hawaii,FORT KAMEHAMEHA,1,-157.959366,21.328618,FORT KAMEHAMEHA,EWG_2019,100.0
Army,Hawaii,POHAKULOA TRAINING AREA,1,-155.342208,19.673363,POHAKULOA TRAINING AREA,EWG_2019,100.0
Army,Illinois,SAVANNA DEPOT ACTIVITY,1,-90.244591,42.190504,SAVANNA DEPOT ACTIVITY,EWG_2019,100.0
Army,Indiana,FORT BENJAMIN HARRISON,1,-86.020938,39.865032,FORT BENJAMIN HARRISON,EWG_2019,100.0
Army,Indiana,JEFFERSON PROVING GROUND,1,-85.416627,38.83687,JEFFERSON PROVING GROUND,EWG_2019,100.0
