OBJECTID,SE_ANNO_CAD_DATA,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,x,y
180,System.Byte[],usa,na,NG MTA Camp Crowder Neosho,no,no,no,na, ,,NG MTA Camp Crowder Neosho,act,armyNationalGuard,MO,-94.3725086319999,36.7799914300001
181,System.Byte[],usa,na,NG MTA Camp Curtis Guil,no,no,no,na, ,,NG MTA Camp Curtis Guil,act,armyNationalGuard,MA,-71.072661177,42.544699699
182,System.Byte[],usa,na,Joint Base Cape Cod,no,yes,yes,na, ,,Joint Base Cape Cod,act,armyNationalGuard,MA,-70.544948254,41.7004988040001
183,System.Byte[],usa,na,NG MTA Camp Fretterd,no,no,no,na, ,,NG MTA Camp Fretterd,act,armyNationalGuard,MD,-76.845698566,39.497993369
184,System.Byte[],usa,na,NG MTA Camp Rilea,no,no,no,na, ,,NG MTA Camp Rilea,act,armyNationalGuard,OR,-123.944216514,46.1287474270001
185,System.Byte[],usa,na,NG MTA Camp Santiago,no,no,no,na, ,,NG MTA Camp Santiago,act,armyNationalGuard,PR,-66.2836084589999,18.0287730370001
186,System.Byte[],usa,na,Camp Shelby,no,yes,no,na, ,,Camp Shelby,act,armyNationalGuard,MS,-89.035722509,31.120738352
187,System.Byte[],usa,na,NG MTA Clarks Hill Reservation,no,no,no,na, ,,NG MTA Clarks Hill Reservation,act,armyNationalGuard,SC,-82.277770504,33.7944400550001
188,System.Byte[],usa,na,NG MTA Ft Wm Henry Harrison,no,no,no,na, ,,NG MTA Ft Wm Henry Harrison,act,armyNationalGuard,MT,-112.142361167,46.6162210310001
189,System.Byte[],usa,na,NG MTA Gunpowder Military Reservation,no,no,no,na, ,,NG MTA Gunpowder Military Reservation,act,armyNationalGuard,MD,-76.505013488,39.432377692
190,System.Byte[],usa,na,NG MTA Limestone Hills,no,no,no,na, ,,NG MTA Limestone Hills,act,armyNationalGuard,MT,-111.579833086,46.2741056680001
191,System.Byte[],usa,na,Camp Williams,no,yes,no,na, ,,Camp Williams,act,armyNationalGuard,UT,-112.018191024,40.4273648400001
192,System.Byte[],usa,na,Camp Grayling,no,yes,no,na, ,,Camp Grayling,act,armyNationalGuard,MI,-84.569112124,44.7348017940001
193,System.Byte[],usa,na,Camp Roberts,no,yes,no,na, ,,Camp Roberts,act,armyNationalGuard,CA,-120.780034945,35.781637039
194,System.Byte[],usa,na,NG MTCH Camp Guernsey,no,no,no,na, ,,NG MTCH Camp Guernsey,act,armyNationalGuard,WY,-104.811053051,42.4035225960001
195,System.Byte[],usa,na,NG Nashville,no,no,no,na, ,,NG Nashville,act,armyNationalGuard,TN,-86.7584264769999,36.099513018
196,System.Byte[],usa,na,NG New Castle Readiness Center/FMS 9,no,no,no,na, ,,NG New Castle Readiness Center/FMS 9,act,armyNationalGuard,PA,-80.324787043,40.97939827
197,System.Byte[],usa,na,NG Alcantra Armory Complex,no,no,no,na, ,,NG Alcantra Armory Complex,act,armyNationalGuard,AK,-149.374849784,61.603050544
198,System.Byte[],usa,na,NG Buckeye TS,no,no,no,na, ,,NG Buckeye TS,act,armyNationalGuard,AZ,-112.599533903,33.453737742
199,System.Byte[],usa,na,NG Ethan Allen AFB MTA,no,no,no,na, ,,NG Ethan Allen AFB MTA,act,armyNationalGuard,VT,-73.163556566,44.509890919
200,System.Byte[],usa,na,NG River Road Training Site,no,no,no,na, ,,NG River Road Training Site,act,armyNationalGuard,DE,-75.60706964,39.633430516
201,System.Byte[],usa,na,NG Youngstown Tng Site,no,no,no,na, ,,NG Youngstown Tng Site,act,armyNationalGuard,NY,-78.972691396,43.2374993450001
202,System.Byte[],usa,na,NG Training Site,no,no,no,na, ,,NG Training Site,act,armyNationalGuard,NH,-71.122228677,43.2778035210001
203,System.Byte[],usa,na,NG Norman CSMS,no,no,no,na, ,,NG Norman CSMS,act,armyNationalGuard,OK,-97.480818698,35.2652021160001
204,System.Byte[],usa,na,Fort Irwin,no,yes,no,na, ,,Fort Irwin,act,usa,CA,-116.633086938,35.375099607
205,System.Byte[],usa,na,NG Oglethorpe Armory,no,no,no,na, ,,NG Oglethorpe Armory,act,armyNationalGuard,GA,-84.309923747,33.6173832200001
206,System.Byte[],usa,na,NG Santa Fe - Onate Complex TS,no,no,no,na, ,,NG Santa Fe - Onate Complex TS,act,armyNationalGuard,NM,-106.080944733,35.569606913
207,System.Byte[],usa,na,NG Camp Orchard Cantonement Area,no,no,no,na, ,,NG Camp Orchard Cantonement Area,act,armyNationalGuard,ID,-116.061008109,43.2963991620001
208,System.Byte[],usa,na,Orchard Combat Training Center,no,yes,no,na, ,,Orchard Combat Training Center,act,armyNationalGuard,ID,-116.139117738,43.227720961
209,System.Byte[],usa,na,NG Papago Military Reservation,no,no,no,na, ,,NG Papago Military Reservation,act,armyNationalGuard,AZ,-111.960972206,33.469299968
