"compound","exposure","spec","margin","estimate","p.value","nobs","detect_rate","sig"
"PFOS","milsusp_25km","cov","intensive_detects",0.348107437192355,4.23478493632876e-06,785,0.415846456692913,"***"
"PFOS","milbase_10km","raw","detect_LPM",0.0711306641346948,0.00345749573563176,2032,0.415846456692913,"***"
"PFOS","milbase_10km","raw","tobit_censored",0.287523965253233,8.31747035315635e-06,2032,0.415846456692913,"***"
"PFOS","milbase_10km","raw","intensive_detects",0.18668360355376,1.84416123588927e-05,845,0.415846456692913,"***"
"PFOS","milbase_10km","cov","detect_LPM",0.131256647216125,1.39460755213727e-05,1894,0.415846456692913,"***"
"PFOS","milbase_10km","cov","tobit_censored",0.449025793719292,1.21798268901822e-08,1894,0.415846456692913,"***"
"PFOS","milbase_10km","cov","intensive_detects",0.20181565087098,0.000319721668916079,785,0.415846456692913,"***"
"PFOS","milbase_25km","raw","detect_LPM",0.0258145843630746,0.0173740880860489,2032,0.415846456692913,"**"
"PFOS","milbase_25km","raw","tobit_censored",0.104779426273278,0.000289633549687389,2032,0.415846456692913,"***"
"PFOS","milbase_25km","raw","intensive_detects",0.0657818562513662,0.000558013967380548,845,0.415846456692913,"***"
"PFOS","milbase_25km","cov","detect_LPM",0.0628071732493857,4.51920930806999e-06,1894,0.415846456692913,"***"
"PFOS","milbase_25km","cov","tobit_censored",0.191497142545446,9.54091939581863e-08,1894,0.415846456692913,"***"
"PFOS","milbase_25km","cov","intensive_detects",0.0559154725133193,0.0283634478597707,785,0.415846456692913,"**"
"PFOS","all_combined_10km","raw","detect_LPM",0.0354945957832322,0.00786099176748164,2032,0.415846456692913,"***"
"PFOS","all_combined_10km","raw","tobit_censored",0.166248508754169,3.07422636885862e-06,2032,0.415846456692913,"***"
"PFOS","all_combined_10km","raw","intensive_detects",0.128630892045719,9.17483218127834e-08,845,0.415846456692913,"***"
"PFOS","all_combined_10km","cov","detect_LPM",0.0828070913438831,8.98057901253892e-08,1894,0.415846456692913,"***"
"PFOS","all_combined_10km","cov","tobit_censored",0.254714579853438,4.12856977183947e-10,1894,0.415846456692913,"***"
"PFOS","all_combined_10km","cov","intensive_detects",0.0900733498233123,0.00185303644280824,785,0.415846456692913,"***"
"PFOS","all_combined_25km","raw","detect_LPM",0.0149392621898678,0.0291362622888344,2032,0.415846456692913,"**"
"PFOS","all_combined_25km","raw","tobit_censored",0.0786620225385127,2.32440791441075e-05,2032,0.415846456692913,"***"
"PFOS","all_combined_25km","raw","intensive_detects",0.0702898734616476,4.90950435730902e-08,845,0.415846456692913,"***"
"PFOS","all_combined_25km","cov","detect_LPM",0.0474625572972267,4.46476382466221e-09,1894,0.415846456692913,"***"
"PFOS","all_combined_25km","cov","tobit_censored",0.143489559745179,4.07363619038367e-11,1894,0.415846456692913,"***"
"PFOS","all_combined_25km","cov","intensive_detects",0.0461356282120381,0.00438313419856997,785,0.415846456692913,"***"
"PFOA","airport_10km","raw","detect_LPM",0.00865666127406732,0.610939731610075,2032,0.344488188976378,""
"PFOA","airport_10km","raw","tobit_censored",0.0245979672024166,0.521798882882217,2032,0.344488188976378,""
"PFOA","airport_10km","raw","intensive_detects",0.0122589927958635,0.646062232603944,700,0.344488188976378,""
"PFOA","airport_10km","cov","detect_LPM",0.0160025124439744,0.38626723334542,1894,0.344488188976378,""
"PFOA","airport_10km","cov","tobit_censored",0.0398291882883794,0.330332630792993,1894,0.344488188976378,""
"PFOA","airport_10km","cov","intensive_detects",0.0280209968109589,0.360090511500367,655,0.344488188976378,""
"PFOA","airport_25km","raw","detect_LPM",0.0168759838734574,0.0211977827247143,2032,0.344488188976378,"**"
"PFOA","airport_25km","raw","tobit_censored",0.0377786786088313,0.0241002320762871,2032,0.344488188976378,"**"
"PFOA","airport_25km","raw","intensive_detects",0.00359719829894615,0.769064246098143,700,0.344488188976378,""
