"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFOA","idw__mil_airport__25km","cov","tobit","A_anydetect",0.0424209091841068,0.0128959766544406,0.00100376785724118,6314,3500,0.354450427621159,"***"
"PFHxS","idw__mil_airport__25km","raw","detect","A_anydetect",0.00815510181880691,0.00622890395574532,0.190454610417324,6314,3500,0.276369971491923,""
"PFHxS","idw__mil_airport__25km","raw","tobit","A_anydetect",-0.00149611728811898,0.0174136671185302,0.931532979467778,6314,3500,0.276369971491923,""
"PFHxS","idw__mil_airport__25km","cov","detect","A_anydetect",0.00350455529411604,0.00609446301088656,0.5652647681999,6314,3500,0.276369971491923,""
"PFHxS","idw__mil_airport__25km","cov","tobit","A_anydetect",-0.0139042146626101,0.0163443308154545,0.394932880699542,6314,3500,0.276369971491923,""
"PFBS","idw__mil_airport__25km","raw","detect","A_anydetect",-0.00200169517519618,0.00593960076566572,0.736110590131965,6314,3500,0.452011403230915,""
"PFBS","idw__mil_airport__25km","raw","tobit","A_anydetect",-0.0260770214446596,0.0116371320849419,0.0250360489947574,6314,3500,0.452011403230915,"**"
"PFBS","idw__mil_airport__25km","cov","detect","A_anydetect",-0.00572751727941308,0.00624844306996377,0.359335978852308,6314,3500,0.452011403230915,""
"PFBS","idw__mil_airport__25km","cov","tobit","A_anydetect",-0.0261350924522816,0.0124583611475453,0.0359232248595622,6314,3500,0.452011403230915,"**"
"PFHxA","idw__mil_airport__25km","raw","detect","A_anydetect",0.0582012572165496,0.00544520878848081,1.15186668581042e-26,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__25km","raw","tobit","A_anydetect",0.0800192816109701,0.00921139232015376,3.72165802958117e-18,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__25km","cov","detect","A_anydetect",0.0535653207414411,0.00554056049804245,4.12952887354706e-22,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__25km","cov","tobit","A_anydetect",0.067336259292192,0.00982241491512088,7.11296607039243e-12,6314,3500,0.465473550839405,"***"
"PFPeA","idw__mil_airport__25km","raw","detect","A_anydetect",0.0575908729483389,0.00557937501191344,5.59844062640246e-25,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_airport__25km","raw","tobit","A_anydetect",0.0955773892348372,0.0106682996660116,3.27610376447639e-19,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_airport__25km","cov","detect","A_anydetect",0.0488833233031487,0.0055829708447148,2.02677812308943e-18,6314,3500,0.541019955654102,"***"
