"compound","exposure","spec","margin","estimate","std.error","p.value","nobs","detect_rate","mrl_ug_l","expect","radius_km","sig","supports","contradicts"
"PFBA","idw__tierweighted__25km","cov","tobit",0.0341571873346755,0.0238209777672046,0.151597359455045,1894,0.290918690601901,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__tierweighted__25km","raw","detect",0.0169469602526094,0.00565261142023699,0.00274988031260119,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__tierweighted__25km","raw","intensive",-0.000895574765288078,0.0214614032778828,0.966728907309371,572,0.281496062992126,0.00505,"pos",25,"",FALSE,FALSE
"PFBA","idw__tierweighted__25km","raw","tobit",0.0710635508632908,0.0258264183146682,0.00593078672366072,2032,0.281496062992126,0.00505,"pos",25,"***",TRUE,FALSE
"PFBA","idw__tierweighted__5km","cov","detect",0.016120754792642,0.00766496602254255,0.0355879337797161,1894,0.290918690601901,0.00505,"pos",5,"**",TRUE,FALSE
"PFBA","idw__tierweighted__5km","cov","intensive",-0.0353128411268995,0.0254880820717144,0.166556509038021,551,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__tierweighted__5km","cov","tobit",0.0301344771076259,0.0291813644718821,0.301762248378126,1894,0.290918690601901,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__tierweighted__5km","raw","detect",0.0279004009036417,0.00702365870826338,7.36515211196887e-05,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
"PFBA","idw__tierweighted__5km","raw","intensive",-0.0279438041370052,0.0254933150345607,0.273487925991152,572,0.281496062992126,0.00505,"pos",5,"",FALSE,FALSE
"PFBA","idw__tierweighted__5km","raw","tobit",0.100348381800008,0.0314533376072942,0.00142081416663587,2032,0.281496062992126,0.00505,"pos",5,"***",TRUE,FALSE
"PFBA","nearest_km","cov","detect",-4.14896996181015e-05,1.4904910991708e-05,0.00543121851039165,1894,0.290918690601901,0.00505,"neg",NA,"***",TRUE,FALSE
"PFBA","nearest_km","cov","intensive",3.42561367938342e-05,7.88486926825108e-05,0.66415477861962,551,0.290918690601901,0.00505,"neg",NA,"",FALSE,FALSE
"PFBA","nearest_km","cov","tobit",-0.000172376214278312,6.67640540192068e-05,0.00982661403281633,1894,0.290918690601901,0.00505,"neg",NA,"***",TRUE,FALSE
"PFBA","nearest_km","raw","detect",-3.78835244719312e-05,1.11183118597862e-05,0.000668864147577113,2032,0.281496062992126,0.00505,"neg",NA,"***",TRUE,FALSE
"PFBA","nearest_km","raw","intensive",1.52064631240561e-05,8.94359740943762e-05,0.865049822754967,572,0.281496062992126,0.00505,"neg",NA,"",FALSE,FALSE
"PFBA","nearest_km","raw","tobit",-0.000247849568540669,7.5716814927844e-05,0.00106271187476157,2032,0.281496062992126,0.00505,"neg",NA,"***",TRUE,FALSE
"PFBA","nearest_pre2002_km","cov","detect",-4.05291451686598e-05,1.44937329074171e-05,0.00522325588136222,1894,0.290918690601901,0.00505,"neg",NA,"***",TRUE,FALSE
"PFBA","nearest_pre2002_km","cov","intensive",3.23350041556838e-05,7.66693330305313e-05,0.673399840648978,551,0.290918690601901,0.00505,"neg",NA,"",FALSE,FALSE
"PFBA","nearest_pre2002_km","cov","tobit",-0.000168904641005307,6.49868507687757e-05,0.00934797818526524,1894,0.290918690601901,0.00505,"neg",NA,"***",TRUE,FALSE
"PFBA","nearest_pre2002_km","raw","detect",-3.69977303179316e-05,1.0812566785608e-05,0.000634560720935515,2032,0.281496062992126,0.00505,"neg",NA,"***",TRUE,FALSE
"PFBA","nearest_pre2002_km","raw","intensive",1.21235241430671e-05,8.69433539562045e-05,0.889150421310113,572,0.281496062992126,0.00505,"neg",NA,"",FALSE,FALSE
"PFBA","nearest_pre2002_km","raw","tobit",-0.000243026304585863,7.38660550329476e-05,0.00100153725477658,2032,0.281496062992126,0.00505,"neg",NA,"***",TRUE,FALSE
"PFBA","within_10km","cov","detect",0.0045666501613887,0.0264966753963669,0.863183131263297,1894,0.290918690601901,0.00505,"pos",NA,"",FALSE,FALSE
"PFBA","within_10km","cov","intensive",0.108911932504238,0.101738718659198,0.284931741233586,551,0.290918690601901,0.00505,"pos",NA,"",FALSE,FALSE
"PFBA","within_10km","cov","tobit",0.040892193489979,0.105485014256282,0.698268552742945,1894,0.290918690601901,0.00505,"pos",NA,"",FALSE,FALSE
"PFBA","within_10km","raw","detect",0.054234070582844,0.0259190113401245,0.0365227554526488,2032,0.281496062992126,0.00505,"pos",NA,"**",TRUE,FALSE
"PFBA","within_10km","raw","intensive",0.359366559391044,0.104416804743596,0.000620540066147589,572,0.281496062992126,0.00505,"pos",NA,"***",TRUE,FALSE
"PFBA","within_10km","raw","tobit",0.3887331776375,0.122539929615834,0.00151237713468278,2032,0.281496062992126,0.00505,"pos",NA,"***",TRUE,FALSE
"PFBA","within_5km","cov","detect",0.0391616392561323,0.0212184779721507,0.0651074904860747,1894,0.290918690601901,0.00505,"pos",NA,"*",FALSE,FALSE
"PFBA","within_5km","cov","intensive",-0.0370042453321057,0.0750269888171131,0.62208898707687,551,0.290918690601901,0.00505,"pos",NA,"",FALSE,FALSE
"PFBA","within_5km","cov","tobit",0.131254220247621,0.0825681076876928,0.111914190132116,1894,0.290918690601901,0.00505,"pos",NA,"",FALSE,FALSE
"PFBA","within_5km","raw","detect",0.0443191659166936,0.0208718141104435,0.0338411860782654,2032,0.281496062992126,0.00505,"pos",NA,"**",TRUE,FALSE
"PFBA","within_5km","raw","intensive",0.175709211643978,0.0811259248783102,0.0307340808763625,572,0.281496062992126,0.00505,"pos",NA,"**",TRUE,FALSE
"PFBA","within_5km","raw","tobit",0.265795114753976,0.0960703674184105,0.00566318480075539,2032,0.281496062992126,0.00505,"pos",NA,"***",TRUE,FALSE
"PFBS","idw__all_equal__10km","cov","detect",-0.016714198163738,0.00505895611285337,0.000972107399255278,1894,0.444033790918691,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__all_equal__10km","cov","intensive",-0.0236242750086164,0.0120410010490497,0.0501263087688686,841,0.444033790918691,0.003,"pos",10,"*",FALSE,FALSE
"PFBS","idw__all_equal__10km","cov","tobit",-0.0590371351638368,0.0127393673706464,3.58271660172408e-06,1894,0.444033790918691,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__all_equal__10km","raw","detect",-0.0273444520379673,0.00428259188209678,2.11802950137103e-10,2032,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__all_equal__10km","raw","intensive",-0.0415568031259771,0.00948776431512779,1.32384826165654e-05,916,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__all_equal__10km","raw","tobit",-0.0837319079020465,0.0109988003279196,2.68175236222223e-14,2032,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__all_equal__25km","cov","detect",-0.0123008391642449,0.00537710302916787,0.0222734579708664,1894,0.444033790918691,0.003,"pos",25,"**",FALSE,TRUE
"PFBS","idw__all_equal__25km","cov","intensive",-0.0273618455799909,0.0121069137707416,0.0241005447018444,841,0.444033790918691,0.003,"pos",25,"**",FALSE,TRUE
"PFBS","idw__all_equal__25km","cov","tobit",-0.0503149373899989,0.0132377893907565,0.000144196816080395,1894,0.444033790918691,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__all_equal__25km","raw","detect",-0.024171798571322,0.00447143635722086,7.2100304897225e-08,2032,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__all_equal__25km","raw","intensive",-0.0451968182214199,0.00934883832711613,1.56549223417484e-06,916,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__all_equal__25km","raw","tobit",-0.0782958899781158,0.0111514704067959,2.20085683478167e-12,2032,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__all_equal__5km","cov","detect",-0.0225253011363635,0.0058040194683608,0.000107753747734611,1894,0.444033790918691,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__all_equal__5km","cov","intensive",-0.0266575571372384,0.0145907488582724,0.0680865844183364,841,0.444033790918691,0.003,"pos",5,"*",FALSE,FALSE
"PFBS","idw__all_equal__5km","cov","tobit",-0.0770732072304668,0.0150268206530559,2.91219035234579e-07,1894,0.444033790918691,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__all_equal__5km","raw","detect",-0.0343716237722758,0.00498085673463511,6.88902264438077e-12,2032,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__all_equal__5km","raw","intensive",-0.0448758724743918,0.011683753336506,0.00013105424252462,916,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__all_equal__5km","raw","tobit",-0.102609867273852,0.0131813030735123,6.99888770553158e-15,2032,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__post2002__10km","cov","detect",-0.0189996823517379,0.00558494826728407,0.000683603203320918,1894,0.444033790918691,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__post2002__10km","cov","intensive",-0.0258083057349465,0.0133737191394724,0.0540038296562961,841,0.444033790918691,0.003,"pos",10,"*",FALSE,FALSE
"PFBS","idw__post2002__10km","cov","tobit",-0.0680369686819096,0.0140652566886609,1.31656949918087e-06,1894,0.444033790918691,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__post2002__10km","raw","detect",-0.029635355137821,0.00469314224823687,3.31774894056357e-10,2032,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__post2002__10km","raw","intensive",-0.0510848479470913,0.0103571365059028,9.65022793258125e-07,916,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__post2002__10km","raw","tobit",-0.0942654611052219,0.0120748829183178,5.86865603026197e-15,2032,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__post2002__25km","cov","detect",-0.0126918950195203,0.00533989966664501,0.0175665176955177,1894,0.444033790918691,0.003,"pos",25,"**",FALSE,TRUE
"PFBS","idw__post2002__25km","cov","intensive",-0.0243390012042092,0.012165257412484,0.045777917619156,841,0.444033790918691,0.003,"pos",25,"**",FALSE,TRUE
"PFBS","idw__post2002__25km","cov","tobit",-0.0511285437072933,0.0131690970065343,0.000103403371619397,1894,0.444033790918691,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__post2002__25km","raw","detect",-0.0240941146216631,0.00445794042104801,7.25220507037906e-08,2032,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__post2002__25km","raw","intensive",-0.049642199875785,0.00937886122711699,1.50738661742751e-07,916,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__post2002__25km","raw","tobit",-0.0806675155169742,0.0111561554810305,4.80288129874045e-13,2032,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__post2002__5km","cov","detect",-0.0264502163115238,0.00717532612179031,0.000234246219641804,1894,0.444033790918691,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__post2002__5km","cov","intensive",-0.0322814162099962,0.0179171179304274,0.0719849488243309,841,0.444033790918691,0.003,"pos",5,"*",FALSE,FALSE
"PFBS","idw__post2002__5km","cov","tobit",-0.0931022543087134,0.0184762006038414,4.67880585835246e-07,1894,0.444033790918691,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__post2002__5km","raw","detect",-0.0394695265726899,0.00609829878679784,1.20734146391542e-10,2032,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__post2002__5km","raw","intensive",-0.0598154476932522,0.0140922820522365,2.41388464559645e-05,916,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__post2002__5km","raw","tobit",-0.122435438688699,0.0161084514226643,2.94542798477493e-14,2032,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__pre2002__10km","cov","detect",-0.0214248589595735,0.00543630746008679,8.41949775524279e-05,1894,0.444033790918691,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__pre2002__10km","cov","intensive",-0.0177008802179907,0.013464348624113,0.189022181919603,841,0.444033790918691,0.003,"pos",10,"",FALSE,FALSE
"PFBS","idw__pre2002__10km","cov","tobit",-0.0682063026476065,0.0139340520878994,9.83373867317418e-07,1894,0.444033790918691,0.003,"pos",10,"***",FALSE,TRUE
