"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFOS","idw__ind_all_equal__25km","cov","detect","A_anydetect",0.0107092727369796,0.00368782074019638,0.00368478801234796,6314,3500,0.360785555907507,"***"
"PFOS","idw__ind_all_equal__25km","cov","tobit","A_anydetect",0.0187367059710089,0.0100494634940481,0.0622587636610076,6314,3500,0.360785555907507,"*"
"PFOA","idw__ind_all_equal__25km","raw","detect","A_anydetect",0.0339989396264075,0.0036262786997291,6.87113509248389e-21,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__25km","raw","tobit","A_anydetect",0.0682933495629854,0.00983234101607723,3.76355399471491e-12,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__25km","cov","detect","A_anydetect",0.0213236189517585,0.00337483043162014,2.6423945169797e-10,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__25km","cov","tobit","A_anydetect",0.0403304892740152,0.00809781384529439,6.34474287839844e-07,6314,3500,0.354450427621159,"***"
"PFHxS","idw__ind_all_equal__25km","raw","detect","A_anydetect",0.00332725656942038,0.00613230855914182,0.587420293588367,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_all_equal__25km","raw","tobit","A_anydetect",-0.00723447865641641,0.0185220987129614,0.696103027813778,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_all_equal__25km","cov","detect","A_anydetect",0.0025857385486655,0.00443976727622262,0.560294538131565,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_all_equal__25km","cov","tobit","A_anydetect",-0.00969076666901911,0.0113312581102219,0.392427016165924,6314,3500,0.276369971491923,""
"PFBS","idw__ind_all_equal__25km","raw","detect","A_anydetect",0.00112989423651158,0.00407322033337809,0.781476201815217,6314,3500,0.452011403230915,""
"PFBS","idw__ind_all_equal__25km","raw","tobit","A_anydetect",-0.0146787862840947,0.00943770505461561,0.119866474975823,6314,3500,0.452011403230915,""
"PFBS","idw__ind_all_equal__25km","cov","detect","A_anydetect",0.00549755498316231,0.00395447566773305,0.164464859395766,6314,3500,0.452011403230915,""
"PFBS","idw__ind_all_equal__25km","cov","tobit","A_anydetect",-0.00683548277123914,0.00814659837995212,0.401435783206176,6314,3500,0.452011403230915,""
"PFHxA","idw__ind_all_equal__25km","raw","detect","A_anydetect",0.0303507845287142,0.00450110480170586,1.5518840951202e-11,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__25km","raw","tobit","A_anydetect",0.0390675304433079,0.00897928095041363,1.35609017022807e-05,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__25km","cov","detect","A_anydetect",0.0303010193715438,0.00391623965829332,1.01570991835684e-14,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__25km","cov","tobit","A_anydetect",0.0335040851633032,0.0073653703872916,5.39356945437927e-06,6314,3500,0.465473550839405,"***"
"PFPeA","idw__ind_all_equal__25km","raw","detect","A_anydetect",0.0304660467767991,0.00469784412540756,8.8665711055247e-11,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_all_equal__25km","raw","tobit","A_anydetect",0.0476708480913374,0.00978644746002219,1.10973835750295e-06,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_all_equal__25km","cov","detect","A_anydetect",0.0275415625235855,0.00401568980995055,6.95929154133387e-12,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_all_equal__25km","cov","tobit","A_anydetect",0.0388900881832263,0.00785531426996293,7.39091111100464e-07,6314,3500,0.541019955654102,"***"
"PFBA","idw__ind_all_equal__25km","raw","detect","A_anydetect",-0.00920480429453043,0.00481096330495691,0.0557099714756357,6314,3500,0.432689261957555,"*"
"PFBA","idw__ind_all_equal__25km","raw","tobit","A_anydetect",-0.0070993534804126,0.00852420800867816,0.404931525809165,6314,3500,0.432689261957555,""
"PFBA","idw__ind_all_equal__25km","cov","detect","A_anydetect",-0.00373323778941271,0.00372689971749076,0.316488203048638,6314,3500,0.432689261957555,""
"PFBA","idw__ind_all_equal__25km","cov","tobit","A_anydetect",-0.00421698094030408,0.00724695202226437,0.560635940576591,6314,3500,0.432689261957555,""
"PFHpA","idw__ind_all_equal__25km","raw","detect","A_anydetect",0.00331821872076559,0.00331777633966688,0.31724598504545,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_all_equal__25km","raw","tobit","A_anydetect",0.00849111101217781,0.0129997603193255,0.513643834003448,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_all_equal__25km","cov","detect","A_anydetect",0.000208726948142766,0.00292032312116677,0.943020578376882,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_all_equal__25km","cov","tobit","A_anydetect",-0.00543445395770019,0.0105347096313296,0.605950956677983,6314,3500,0.13588850174216,""
"PFOS","idw__ind_pre2002__5km","raw","detect","A_anydetect",0.00741077684233816,0.0056950380146927,0.193166369124424,6314,3500,0.360785555907507,""
"PFOS","idw__ind_pre2002__5km","raw","tobit","A_anydetect",0.0210603053050927,0.014864873406823,0.156546275916603,6314,3500,0.360785555907507,""
"PFOS","idw__ind_pre2002__5km","cov","detect","A_anydetect",0.00648451758773858,0.00550706977973201,0.23900013194316,6314,3500,0.360785555907507,""
"PFOS","idw__ind_pre2002__5km","cov","tobit","A_anydetect",0.0188315974053324,0.0145487907719763,0.195535771010551,6314,3500,0.360785555907507,""
"PFOA","idw__ind_pre2002__5km","raw","detect","A_anydetect",0.0263294248531538,0.00564130125518158,3.05241614511224e-06,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_pre2002__5km","raw","tobit","A_anydetect",0.0549518305516029,0.0115729306430398,2.05126244648617e-06,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_pre2002__5km","cov","detect","A_anydetect",0.0127773098326916,0.00518718830300417,0.0137686227116635,6314,3500,0.354450427621159,"**"
"PFOA","idw__ind_pre2002__5km","cov","tobit","A_anydetect",0.0252844979521884,0.0104854104544268,0.0158914955858347,6314,3500,0.354450427621159,"**"
"PFHxS","idw__ind_pre2002__5km","raw","detect","A_anydetect",0.0111807989180334,0.00545827084093285,0.0405194417236542,6314,3500,0.276369971491923,"**"
"PFHxS","idw__ind_pre2002__5km","raw","tobit","A_anydetect",0.0149825612739703,0.0150186621587429,0.318475172982067,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_pre2002__5km","cov","detect","A_anydetect",0.0113663871443544,0.00536390282336733,0.0340861019356741,6314,3500,0.276369971491923,"**"
"PFHxS","idw__ind_pre2002__5km","cov","tobit","A_anydetect",0.0118021481741676,0.0139280872324879,0.396792725428258,6314,3500,0.276369971491923,""
"PFBS","idw__ind_pre2002__5km","raw","detect","A_anydetect",-0.0218424684194134,0.00577797857455617,0.000156642115619164,6314,3500,0.452011403230915,"***"
"PFBS","idw__ind_pre2002__5km","raw","tobit","A_anydetect",-0.0566313763309964,0.0120000453146305,2.36700007699305e-06,6314,3500,0.452011403230915,"***"
"PFBS","idw__ind_pre2002__5km","cov","detect","A_anydetect",-0.0175020209388377,0.00559835989836945,0.0017703501982981,6314,3500,0.452011403230915,"***"
"PFBS","idw__ind_pre2002__5km","cov","tobit","A_anydetect",-0.0509563699403723,0.0113110652193039,6.6372358722533e-06,6314,3500,0.452011403230915,"***"
"PFHxA","idw__ind_pre2002__5km","raw","detect","A_anydetect",0.0252236726583581,0.00508360572780746,6.98543713283911e-07,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_pre2002__5km","raw","tobit","A_anydetect",0.0335425356038416,0.00899204041211757,0.000191291822604996,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_pre2002__5km","cov","detect","A_anydetect",0.0219453320892269,0.00521304534266529,2.55715401502815e-05,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_pre2002__5km","cov","tobit","A_anydetect",0.0194978197569409,0.0092629034078417,0.0352968709175468,6314,3500,0.465473550839405,"**"
"PFPeA","idw__ind_pre2002__5km","raw","detect","A_anydetect",0.0292338141674898,0.00525939095645993,2.72254281728561e-08,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_pre2002__5km","raw","tobit","A_anydetect",0.0449218507697379,0.0104388725446321,1.68254514465611e-05,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_pre2002__5km","cov","detect","A_anydetect",0.0209422166370866,0.00514553057661032,4.70167777000963e-05,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_pre2002__5km","cov","tobit","A_anydetect",0.0195828818308977,0.0099405993526553,0.0488395107425759,6314,3500,0.541019955654102,"**"
"PFBA","idw__ind_pre2002__5km","raw","detect","A_anydetect",0.00144290468952916,0.00659479269578418,0.826810093758094,6314,3500,0.432689261957555,""
"PFBA","idw__ind_pre2002__5km","raw","tobit","A_anydetect",0.00949986928245914,0.0126889367512336,0.454054086489092,6314,3500,0.432689261957555,""
"PFBA","idw__ind_pre2002__5km","cov","detect","A_anydetect",0.00460291095907622,0.00532846093493367,0.387678547519443,6314,3500,0.432689261957555,""
"PFBA","idw__ind_pre2002__5km","cov","tobit","A_anydetect",0.00550684371545054,0.0107620891561697,0.608868615816783,6314,3500,0.432689261957555,""
"PFHpA","idw__ind_pre2002__5km","raw","detect","A_anydetect",0.00312689507420317,0.00363153126992384,0.389215802216669,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_pre2002__5km","raw","tobit","A_anydetect",0.00903190854018385,0.0138127229572651,0.513187009243929,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_pre2002__5km","cov","detect","A_anydetect",-0.00165780375535266,0.00376788332510885,0.659949584050233,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_pre2002__5km","cov","tobit","A_anydetect",-0.0138043309875904,0.0141530440242558,0.329381088292488,6314,3500,0.13588850174216,""
"PFOS","idw__ind_pre2002__10km","raw","detect","A_anydetect",0.00695321715978906,0.00402469014701691,0.0840527210358356,6314,3500,0.360785555907507,"*"
"PFOS","idw__ind_pre2002__10km","raw","tobit","A_anydetect",0.0163483622334273,0.0105938345589629,0.122783247753588,6314,3500,0.360785555907507,""
"PFOS","idw__ind_pre2002__10km","cov","detect","A_anydetect",0.00597759509281702,0.00401036988220878,0.136083724253546,6314,3500,0.360785555907507,""
"PFOS","idw__ind_pre2002__10km","cov","tobit","A_anydetect",0.0136013109544487,0.0104839194213277,0.194510850459887,6314,3500,0.360785555907507,""
"PFOA","idw__ind_pre2002__10km","raw","detect","A_anydetect",0.0276326226571481,0.00399861308406136,4.82772270913731e-12,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_pre2002__10km","raw","tobit","A_anydetect",0.056021609756962,0.00865645651977792,9.69345359210809e-11,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_pre2002__10km","cov","detect","A_anydetect",0.016309119892221,0.00379132732890419,1.69499325487272e-05,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_pre2002__10km","cov","tobit","A_anydetect",0.0309178112232565,0.00790445821382013,9.17475857996598e-05,6314,3500,0.354450427621159,"***"
"PFHxS","idw__ind_pre2002__10km","raw","detect","A_anydetect",0.00661465745981268,0.00425868920329005,0.120371918643765,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_pre2002__10km","raw","tobit","A_anydetect",0.00551596882279054,0.0123046382768533,0.653948459975272,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_pre2002__10km","cov","detect","A_anydetect",0.00583400461184183,0.0040105132852276,0.145758483426356,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_pre2002__10km","cov","tobit","A_anydetect",0.000701153558824806,0.0104630857187102,0.94657205429192,6314,3500,0.276369971491923,""
"PFBS","idw__ind_pre2002__10km","raw","detect","A_anydetect",-0.0094177899410442,0.00428731555847456,0.028044481797553,6314,3500,0.452011403230915,"**"
"PFBS","idw__ind_pre2002__10km","raw","tobit","A_anydetect",-0.0314934766711161,0.00857207629030161,0.000238818906614745,6314,3500,0.452011403230915,"***"
"PFBS","idw__ind_pre2002__10km","cov","detect","A_anydetect",-0.00605436041759259,0.0041917813315918,0.148643160135323,6314,3500,0.452011403230915,""
"PFBS","idw__ind_pre2002__10km","cov","tobit","A_anydetect",-0.0268047696421938,0.00802828425770823,0.000841436042466116,6314,3500,0.452011403230915,"***"
"PFHxA","idw__ind_pre2002__10km","raw","detect","A_anydetect",0.0268791139380435,0.00372429421915302,5.30544784710931e-13,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_pre2002__10km","raw","tobit","A_anydetect",0.0361338283960266,0.00673989877164504,8.26788652134899e-08,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_pre2002__10km","cov","detect","A_anydetect",0.0255500304737978,0.0038463046503563,3.07889111219267e-11,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_pre2002__10km","cov","tobit","A_anydetect",0.0271237952850222,0.00686156336612979,7.71757772024532e-05,6314,3500,0.465473550839405,"***"
"PFPeA","idw__ind_pre2002__10km","raw","detect","A_anydetect",0.0289685619414603,0.00380815941650903,2.80592133742066e-14,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_pre2002__10km","raw","tobit","A_anydetect",0.0438346829628368,0.00766492114301128,1.07235175800427e-08,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_pre2002__10km","cov","detect","A_anydetect",0.0241636508293579,0.00382628038241932,2.69846530096355e-10,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_pre2002__10km","cov","tobit","A_anydetect",0.0276114384848593,0.00736831486463606,0.000178733543116259,6314,3500,0.541019955654102,"***"
"PFBA","idw__ind_pre2002__10km","raw","detect","A_anydetect",-0.00109298123413903,0.00464721168929975,0.81406067982974,6314,3500,0.432689261957555,""
"PFBA","idw__ind_pre2002__10km","raw","tobit","A_anydetect",0.00624753648755186,0.00917951804488509,0.496127625832533,6314,3500,0.432689261957555,""
