DoD_Component,State_Territory,Installation_Name,Installation_Type,Cleanup_Status
Army,Ohio,Mansfield LAHM Fire Station,National Guard,Action
Army,Ohio,Rickenbacker (MTA) - AASF #2,National Guard,PA/SI Underway
Army,Oklahoma,Fort Sill,Active,PA/SI Underway
Army,Oklahoma,Lexington AASF #1,National Guard,PA/SI Underway
Army,Oklahoma,McAlester Army Ammunition Plant,Active,PA/SI Underway
Army,Oklahoma,Tulsa AASF #2,National Guard,PA/SI Underway
Army,Oregon,Bend COTEF (Youth Challenge),National Guard,Action
Army,Oregon,Biak Training Areas Brett Hall,National Guard,PA/SI Underway
Army,Oregon,Camp Adair Corvallis,National Guard,PA/SI Underway
Army,Oregon,Site,National Guard,PA/SI Underway
Army,Oregon,Christmas Valley Radar Site,National Guard,Action
Army,Oregon,McNary Field Salem AASF,National Guard,PA/SI Completed - RI Planned
Army,Oregon,MTA Camp Rilea,National Guard,PA/SI Underway
Army,Oregon,Pang Base Enclave,National Guard,Action
Army,Oregon,Pendleton Complex Armory / AASF,National Guard,PA/SI Underway
Army,Oregon,Umatilla Chemical Depot,BRAC,PA/SI Underway
Army,Oregon,Umatilla Depot,National Guard,PA/SI Underway
Army,Pennsylvania,Carlisle Barracks,Active,PA/SI Underway
Army,Pennsylvania,Fort Indiantown Gap,National Guard,PA/SI Completed - RI Planned
Army,Pennsylvania,Johnstown AASF #2/Readiness Center,National Guard,PA/SI Underway
Army,Pennsylvania,Letterkenny Army Depot,Active,PA/SI Underway
Army,Pennsylvania,Letterkenny Army Depot,BRAC,PA/SI Underway
Army,Pennsylvania,N Penn,BRAC,PA/SI Completed - RI Planned
Army,Pennsylvania,Scranton Army Ammunition Plant,Active,PA/SI Underway
Army,Pennsylvania,Tobyhanna Army Depot,Active,PA/SI Underway
Army,Puerto Rico,AASF PR,National Guard,PA/SI Underway
Army,Puerto Rico,Center,National Guard,PA/SI Underway
Army,Puerto Rico,Fort Allen,National Guard,PA/SI Underway
Army,Puerto Rico,Fort Buchanan,Active,PA/SI Underway
Army,Puerto Rico,Gurabo Readiness Center,National Guard,Action
Army,Puerto Rico,Mayaquez Readiness Center,National Guard,Action
Army,Puerto Rico,Vega Baja Readiness Center,National Guard,PA/SI Underway
Army,Puerto Rico,Watercraft Maintenance Support Center,National Guard,Action
Army,Rhode Island,North Smithfield,National Guard,Action
Army,Rhode Island,Quonset Point-AASF,National Guard,PA/SI Underway
Army,South Carolina,AASF Upstate,National Guard,PA/SI Underway
Army,South Carolina,Allendale Armory,National Guard,PA/SI Underway
Army,South Carolina,Fort Jackson,Active,PA/SI Underway
Army,South Carolina,McCrady Training Site,National Guard,PA/SI Underway
Army,South Carolina,McEntire ANG AASF,National Guard,PA/SI Underway
Army,South Dakota,Joint Forces Headquarters SD,National Guard,Action
Army,South Dakota,Rapid City Airport Complex,National Guard,PA/SI Underway
Army,Tennessee,AASF #2 TN,National Guard,PA/SI Underway
Army,Tennessee,DDMT,BRAC,PA/SI Underway
Army,Tennessee,Holston Army Ammunition Plant,Active,PA/SI Underway
Army,Tennessee,Jackson Airport Armory/AASF #3,National Guard,PA/SI Underway
Army,Tennessee,Joint Base Berry Field,National Guard,Action
Army,Tennessee,Milan Army Ammunition Plant,Active,PA/SI Underway
Army,Tennessee,Volunteer Army Ammunition Plant,Active,PA/SI Underway
Army,Tennessee,VTS Smyrna,National Guard,PA/SI Underway
Army,Texas,Austin Bergstrom Hangar,National Guard,PA/SI Underway
Army,Texas,El Campo,National Guard,PA/SI Underway
Army,Texas,Ellington Field,National Guard,PA/SI Underway
Army,Texas,Fort Bliss,Active,PA/SI Underway
Army,Texas,Fort Hood,Active,PA/SI Underway
Army,Texas,Grand Prairie (DNAS),National Guard,PA/SI Underway
Army,Texas,Lone Star AAP,BRAC,PA/SI Underway
Army,Texas,Longhorn Army Ammunition Plant,Active,PA/SI Underway
Army,Texas,Martindale - AASF,National Guard,PA/SI Underway
Army,Texas,Red River Army Depot,Active,PA/SI Underway
Army,Texas,Red River Army Depot,BRAC,PA/SI Underway
Army,Texas,Saginaw Burn Pit Area,National Guard,PA/SI Underway
Army,Utah,AASF-E.J. Garn Aviation Complex,National Guard,PA/SI Underway
Army,Utah,Dugway Proving Ground,Active,PA/SI Underway
Army,Utah,Sustained Airborne TNG FAC,National Guard,PA/SI Underway
Army,Utah,Tooele Army Depot,Active,PA/SI Underway
Army,Utah,Tooele Army Depot,BRAC,PA/SI Underway
Army,Utah,Chemical Depot),Active,PA/SI Underway
Army,Utah,Wendover Airport - AVFAC,National Guard,PA/SI Underway
Army,Utah,Test Site,Active,PA/SI Underway
Army,Vermont,JFHQ Camp Johnson,National Guard,Action
Army,Vermont,South BurlingtonAASF / Readiness Center,National Guard,Action
Army,Vermont,TS Ethan Allen Range,National Guard,PA/SI Underway
Army,Virgin Islands,AAOF Blair Hangar,National Guard,PA/SI Underway
Army,Virginia,AASF Byrd Field,National Guard,PA/SI Underway
Army,Virginia,Camp Pendleton SMR,National Guard,PA/SI Underway
Army,Virginia,Chesterfield Limited AASF,National Guard,PA/SI Underway
Army,Virginia,Fort AP Hill,Active,PA/SI Underway
Army,Virginia,Fort Belvoir,Active,PA/SI Underway
Army,Virginia,Fort Lee,Active,PA/SI Underway
Army,Virginia,Fort Monroe,BRAC,PA/SI Underway
Army,Virginia,Fort Pickett,BRAC,PA/SI Underway
Army,Virginia,Fort Pickett MTC,National Guard,PA/SI Underway
Army,Virginia,Ft. Belvoir AASF,National Guard,Another Installation
Army,Virginia,JB Myer Henderson Hall,Active,PA/SI Underway
Army,Virginia,Radford Army Ammunition Plant,Active,PA/SI Underway
Army,Virginia,Vint Hill Farms,BRAC,PA/SI Underway
Army,Washington,AASF #2 WA,National Guard,Action
Army,Washington,Bremerton,National Guard,Action
Army,Washington,Camp Bonneville,BRAC,PA/SI Underway
Army,Washington,Camp Murray,National Guard,Action
Army,Washington,JB Lewis McChord,Active,PA/SI Completed - RI Underway
Army,Washington,Center,Active,PA/SI Underway
Army,West Virginia,CTC Camp Dawson-Kingwood,National Guard,PA/SI Underway
Army,West Virginia,Fixed wing AAS,National Guard,PA/SI Underway
Army,West Virginia,Parkersburg AASF #1,National Guard,PA/SI Underway
Army,West Virginia,Wheeling - AASF #2,National Guard,PA/SI Underway
Army,Wisconsin,Badger Army Ammunition Plant,Active,PA/SI Underway
Army,Wisconsin,Fort McCoy,Active,PA/SI Completed - RI Planned
Army,Wisconsin,Madison AASF #2,National Guard,PA/SI Underway
Army,Wisconsin,West Bend AASF #1 / Armory,National Guard,PA/SI Underway
Army,Wyoming,Casper,National Guard,Action
Army,Wyoming,Cheyenne AASF,National Guard,Action
Army,Wyoming,MTCH Camp Guernsey,National Guard,PA/SI Underway
Navy,Alaska,Adak AK NAF,BRAC,PA/SI Underway
Navy,Alaska,AMCHITKA AK FLTSURSPTDET1,Active,PA/SI Underway
Navy,Alaska,BARROW AK NARL,Active,PA/SI and RI Underway
Navy,Arizona,YUMA AZ MCAS,Active,PA/SI Completed - RI Underway
Navy,California,ALAMEDA_NAS,BRAC,PA/SI and RI Underway
Navy,California,AZUSA CA NCCOSC MORRIS DA,Active,PA/SI Completed - RI Underway
Navy,California,BARSTOW CA MCLB,Active,PA/SI Completed - RI Underway
Navy,California,CAMP PENDLETON CA MCB,Active,PA/SI and RI Underway
Navy,California,CHINA LAKE CA NAWCWPNSDIV,Active,PA/SI Underway
Navy,California,Concord NWS,BRAC,PA/SI Underway
Navy,California,Crows NALF,BRAC,PA/SI Underway
Navy,California,EL CENTRO CA NAF,Active,PA/SI Underway
Navy,California,El Toro MCAS,BRAC,PA/SI Underway
Navy,California,Hunters Point Annex,BRAC,PA/SI Underway
Navy,California,IMPERIAL BEACH CA NAVALF,Active,PA/SI Underway
Navy,California,LEMOORE CA NAS,Active,PA/SI Underway
Navy,California,Long Beach NS,BRAC,PA/SI Underway
Navy,California,Long Beach NSY,BRAC,PA/SI Underway
Navy,California,Mare Island NSY,BRAC,PA/SI Underway
Navy,California,MIRAMAR CA MCAS,Active,PA/SI Underway
Navy,California,Moffett Field NAS,BRAC,Another Federal Agency
Navy,California,NAS PT MUGU CA NAVAIRWARC,Active,PA/SI Completed - RI Underway
Navy,California,NAVBASE CORONADO,Active,PA/SI and RI Underway
Navy,California,NAVBASE SAN DIEGO,Active,PA/SI Underway
Navy,California,NAVCOMTELSTA STOCKTON,Active,PA/SI Underway
Navy,California,Point Molate NFD,BRAC,PA/SI Underway
Navy,California,PORT HUENEME CA NFELC,Active,PA/SI Completed - RI Underway
Navy,California,SAN DIEGO CA AUXLNDFLD,Active,PA/SI Underway
Navy,California,SAN DIEGO CA FASWTC PAC,Active,PA/SI Underway
Navy,California,SAN DIEGO CA NISE-WEST,Active,PA/SI Underway
Navy,California,SAN NICOLAS IS CA OLF,Active,PA/SI Underway
Navy,California,SEAL BEACH CA WPNSUPFAC,Active,PA/SI Underway
Navy,California,SPAWARSYSCEN PACIFIC SD,Active,PA/SI Underway
Navy,California,Treasure Island NS,BRAC,PA/SI and RI Underway
Navy,California,Tustin MCAS,BRAC,PA/SI Underway
Navy,California,TWENTYNINE PALMS CA MAGCC,Active,PA/SI and RI Underway
Navy,Connecticut,BLOOMFIELD CT NWIRP,Active,Action
Navy,Connecticut,NEW LONDON CT NSB,Active,PA/SI Underway
Navy,District of Columbia,ANACOSTIA DC NS,Active,PA/SI Underway
Navy,District of Columbia,WASHINGTON DC COMNAVDIST,Active,PA/SI Underway
Navy,District of Columbia,WASHINGTON DC NAVSECSTA,Active,Action
Navy,District of Columbia,WASHINGTON DC NRL,Active,PA/SI Underway
Navy,Florida,Cecil Field NAS,BRAC,PA/SI Underway
Navy,Florida,CID CORRY STATION,Active,PA/SI Underway
Navy,Florida,FISC JAX (NWCF),Active,Action
Navy,Florida,JACKSONVILLE FL NAS,Active,PA/SI Underway
Navy,Florida,KEY WEST FL NAS,Active,PA/SI Underway
Navy,Florida,KEY WEST FL NAS,BRAC,PA/SI Underway
Navy,Florida,MAYPORT FL NS,Active,PA/SI Completed - RI Planned
Navy,Florida,NSWC DIV PANAMA CITY,Active,PA/SI Underway
Navy,Florida,Orlando NTC,BRAC,PA/SI Underway
Navy,Florida,PENSACOLA FL NAS,Active,PA/SI and RI Underway
Navy,Florida,SAUFLEY FLD FL NAS,Active,PA/SI Underway
Navy,Florida,WHITING FLD FL NAS,Active,PA/SI Underway
Navy,Georgia,ALBANY GA MCLB,Active,PA/SI Underway
Navy,Georgia,KINGS BAY GA NSB,Active,PA/SI Underway
Navy,Guam,Guam Agana NAS,BRAC,PA/SI Underway
Navy,Guam,GUAM NAVACTS,Active,PA/SI Underway
Navy,Guam,NSA ANDERSEN GUAM,Active,PA/SI and RI Underway
Navy,Hawaii,BARBERS POINT HI NAS,Active,PA/SI Underway
Navy,Hawaii,Barbers Point NAS,BRAC,PA/SI Underway
Navy,Hawaii,BARKING SANDS HI PMRF,Active,PA/SI Underway
Navy,Hawaii,JBPHH PEARL HARBOR HI,Active,PA/SI Underway
Navy,Hawaii,KANEOHE BAY HI MCB,Active,PA/SI Underway
Navy,Hawaii,NAVFAC HAWAII P HARBOR,Active,PA/SI and RI Underway
Navy,Hawaii,NMC EAD DET PEARL HARBOR,Active,PA/SI Underway
Navy,Hawaii,PEARL HARBOR HI FISC,Active,PA/SI and RI Underway
Navy,Hawaii,PEARL HARBOR HI NSY,Active,PA/SI Underway
Navy,Illinois,Glenview NAS,BRAC,PA/SI Underway
Navy,Illinois,GREAT LAKES IL NSTC,Active,PA/SI Underway
Navy,Indiana,Indianapolis,BRAC,PA/SI Underway
Navy,Indiana,NAVSURFWARCENDIV CRANE,Active,PA/SI Underway
Navy,Kentucky,Louisville Crane Division Det NOS/NSWC,BRAC,PA/SI Underway
Navy,Louisiana,NEW ORLEANS LA NAS JRB,Active,PA/SI Underway
Navy,Maine,Brunswick NAS,BRAC,PA/SI Completed - RI Underway
Navy,Maine,NCTAMSLANT DET CUTLER,Active,PA/SI and RI Underway
Navy,Maine,PORTS NSYD PORTS NH,Active,PA/SI Underway
Navy,Maryland,ANNAPOLIS MD NS,Active,PA/SI Underway
Navy,Maryland,Annapolis NSWC Carderock DIV Det,BRAC,PA/SI Completed - RI Underway
Navy,Maryland,BAINBRIDGE MD NTC,Active,Action
Navy,Maryland,CHESAPEAKE BEACH MD RESLB,Active,PA/SI Underway
Navy,Maryland,INDIAN HEAD MD NSWCTRDIV,Active,PA/SI Underway
Navy,Maryland,NAVSURFWARCEN WBETH DD,Active,PA/SI Underway
Navy,Maryland,PATUXENT RIVER MD NAS,Active,PA/SI and RI Underway
Navy,Maryland,SOLOMONS MD NRECC,Active,PA/SI Underway
Navy,Maryland,ST INIGOES MD NAVELEXSYS,Active,PA/SI Underway
