"experiment","period","outcome","n_facilities","estimate","std.error","statistic","p.value","sig","adj.r.squared","nobs"
"B2_epa_regulated_only","pre2002","log_PFBS",4193,-0.0433215214898845,0.349181466181131,-0.124065924700059,0.901318230152427,"",0.470131035999883,912
"B2_epa_regulated_only","pre2002","log_PFNA",4193,-0.025484853107142,0.141723999536461,-0.179820307008663,0.868753883839482,"",-1.25748180664241,19
"B2_epa_regulated_only","pre2002","log_PFOS",4193,0.648817827335885,0.296625168411429,2.1873323521757,0.0292756358368769,"**",0.387684433163544,841
"B2_epa_regulated_only","pre2002","log_PFOA",4193,0.157023546030562,0.424772127286568,0.369665371015805,0.71187788741123,"",0.301565991722041,696
"B2_epa_regulated_only","pre2002","log_PFHxS",4193,0.868705784112628,0.673543331183246,1.28975485895841,0.198017567190108,"",0.143992574761743,676
"C_tier1_2_only","all_years","log_PFBS",16285,-0.0460550296233068,0.183677787817121,-0.250738154954053,0.802130496151889,"",0.470186684744468,912
"C_tier1_2_only","all_years","log_PFNA",16285,-0.0273691399482319,0.152202720613269,-0.179820307008663,0.868753883839481,"",-1.25748180664241,19
"C_tier1_2_only","all_years","log_PFOS",16285,0.368480137540638,0.163281408110784,2.25671827432203,0.0245451588897771,"**",0.388133882194142,841
"C_tier1_2_only","all_years","log_PFOA",16285,0.25662459702145,0.214826489682646,1.19456682181303,0.233146537317163,"",0.304387342310742,696
"C_tier1_2_only","all_years","log_PFHxS",16285,0.500653953987375,0.28403713167062,1.76263557881563,0.0788656940786106,"*",0.147614827415977,676
"C_tier1_2_only","pre2002","log_PFBS",7018,-0.0511690638538093,0.267702871394593,-0.19114125891607,0.848500750367348,"",0.470155819001029,912
"C_tier1_2_only","pre2002","log_PFNA",7018,-0.0252857133846771,0.140616562196498,-0.179820307008663,0.868753883839481,"",-1.25748180664241,19
"C_tier1_2_only","pre2002","log_PFOS",7018,0.500272943489041,0.217175217325241,2.30354526474277,0.0217416661396408,"**",0.388444750661062,841
"C_tier1_2_only","pre2002","log_PFOA",7018,0.231883037257248,0.361961782148679,0.640628510227634,0.522225432971938,"",0.302166468289959,696
"C_tier1_2_only","pre2002","log_PFHxS",7018,0.604883450751987,0.422489686198451,1.43171175655129,0.153150360607409,"",0.144965085757914,676
"D_tier_weighted_all","all_years","log_PFBS",21479,-0.0255976849699223,0.151957260209384,-0.16845318831526,0.866302118520164,"",0.470146256026216,912
"D_tier_weighted_all","all_years","log_PFNA",21479,-0.0292394876745412,0.162603924778821,-0.179820307008663,0.868753883839481,"",-1.25748180664241,19
"D_tier_weighted_all","all_years","log_PFOS",21479,0.337070352227823,0.135605034827768,2.4856772660096,0.0133232534372433,"**",0.389711295842774,841
"D_tier_weighted_all","all_years","log_PFOA",21479,0.205153314593398,0.143568761636304,1.42895510315192,0.153998675100912,"",0.305723880004027,696
"D_tier_weighted_all","all_years","log_PFHxS",21479,0.345770690797414,0.271516465694094,1.27347963930474,0.20372297019045,"",0.143887427677504,676
"D_tier_weighted_all","pre2002","log_PFBS",9511,-0.023270138585843,0.291305340708471,-0.0798822930237007,0.936366227710856,"",0.470120472563027,912
"D_tier_weighted_all","pre2002","log_PFNA",9511,-0.0290742815484151,0.161685195805023,-0.179820307008663,0.868753883839481,"",-1.25748180664241,19
"D_tier_weighted_all","pre2002","log_PFOS",9511,-0.15458404562004,0.256680772301073,-0.602242404969552,0.54734169319655,"",0.381166052378327,841
"D_tier_weighted_all","pre2002","log_PFOA",9511,-0.573178627227902,0.37104096757174,-1.54478528605357,0.123392755615719,"",0.306470299545474,696
"D_tier_weighted_all","pre2002","log_PFHxS",9511,-0.608535710409876,0.543761327549688,-1.11912282021246,0.263882420115263,"",0.142955452671789,676
"E_sector_airport","all_years","log_PFOS",774,5.10617751213621,2.11263235282635,2.41697402073058,0.0160804788340094,"**",0.389222840621859,841
"E_sector_airport","all_years","log_PFOA",774,1.42792456049393,1.6656568512957,0.857274149464317,0.391938989218339,"",0.302876954629918,696
"E_sector_airport","pre2002","log_PFOS",270,11.782597012124,3.80920737839757,3.09318864573884,0.00211400050087067,"***",0.394583086324688,841
"E_sector_airport","pre2002","log_PFOA",270,3.6312099710004,3.25997020167222,1.11387827077001,0.266172608299994,"",0.30398147819629,696
"E_sector_chemical","all_years","log_PFOS",4635,0.188632013658686,0.350493675103291,0.538189494013254,0.590734751122867,"",0.381057201671754,841
"E_sector_chemical","all_years","log_PFOA",4635,-0.151799973092423,0.297382157748052,-0.510454205598411,0.610087433629749,"",0.3018379187936,696
"E_sector_chemical","pre2002","log_PFOS",2029,0.208827794138739,0.333299781406758,0.626546447937468,0.531301067534397,"",0.381210543279548,841
"E_sector_chemical","pre2002","log_PFOA",2029,-0.449413018684467,0.340583557567464,-1.3195382122798,0.187938459413589,"",0.305070880715842,696
"E_sector_electronics","all_years","log_PFOS",1834,1.29074165051879,0.963668613259511,1.33940405732733,0.181172228963764,"",0.38329118265562,841
"E_sector_electronics","all_years","log_PFOA",1834,0.612140785475589,0.761489688622451,0.803872717676536,0.422070989082962,"",0.302682883196531,696
"E_sector_electronics","pre2002","log_PFOS",1121,0.854480616394709,1.07609006540003,0.794060500946139,0.427614024543358,"",0.381564834706377,841
"E_sector_electronics","pre2002","log_PFOA",1121,-0.367931982321832,0.8762300467128,-0.419903407446639,0.674839576581737,"",0.301653064048504,696
"E_sector_metal","all_years","log_PFOS",5857,0.17736720976013,0.267800295918637,0.662311477855938,0.508139249458278,"",0.381279202621935,841
"E_sector_metal","all_years","log_PFOA",5857,-0.334537663168606,0.596982233334897,-0.560381271817407,0.575613975316418,"",0.301955181328633,696
"E_sector_metal","pre2002","log_PFOS",3101,0.57805919965566,0.347081981166437,1.66548317407022,0.0965710485385283,"*",0.384737588227014,841
"E_sector_metal","pre2002","log_PFOA",3101,0.322954863804135,0.81487469958511,0.396324568634376,0.692131409182764,"",0.301610820193931,696
"E_sector_paper","all_years","log_PFOS",334,-1.23699673291122,1.28992116700631,-0.95897079957381,0.338131804385537,"",0.381994689933439,841
"E_sector_paper","all_years","log_PFOA",334,-2.67321753862537,1.15452926978364,-2.31541772789038,0.0212261526142483,"**",0.312850504715905,696
"E_sector_paper","pre2002","log_PFOS",139,-0.82563724871115,1.77673483877519,-0.464693566362616,0.64239462033556,"",0.380947328903185,841
"E_sector_paper","pre2002","log_PFOA",139,-3.58612075707101,1.53310222893899,-2.33912696060252,0.0199477016129993,"**",0.313084932937566,696
"E_sector_petroleum","all_years","log_PFOS",660,-0.547656070326332,0.40674489420078,-1.34643625066869,0.17889678590277,"",0.383319128034744,841
"E_sector_petroleum","all_years","log_PFOA",660,-0.673304559255248,0.353799249741938,-1.90306949420147,0.0579343563255548,"*",0.309134067494789,696
"E_sector_petroleum","pre2002","log_PFOS",253,0.596214543775818,0.731405875876925,0.815162365302277,0.415446941356261,"",0.381615357606755,841
"E_sector_petroleum","pre2002","log_PFOA",253,-1.61904328739747,0.852851779250919,-1.89838765279884,0.0585502181699671,"*",0.309095834413447,696
"E_sector_plastics","all_years","log_PFOS",392,-1.28662508355192,0.732719556731149,-1.75595843147942,0.0798331517208963,"*",0.385193138623828,841
"E_sector_plastics","all_years","log_PFOA",392,-1.28745919833205,0.722512666088888,-1.78191920883731,0.0757165533237543,"*",0.308173755556708,696
"E_sector_plastics","pre2002","log_PFOS",168,3.66842511758879,1.51173054401302,2.42663954374477,0.015664396169072,"**",0.38929077826746,841
"E_sector_plastics","pre2002","log_PFOA",168,3.5588206064791,2.39901444655899,1.48345109450411,0.138945015663425,"",0.306068013188627,696
"E_sector_printing","all_years","log_PFOS",1813,-2.93451178097838,1.25003141240308,-2.34755043102238,0.0193662553173446,"**",0.388742408473866,841
"E_sector_printing","all_years","log_PFOA",1813,-0.599504646650882,0.930178609887611,-0.644504872804286,0.519712731381623,"",0.302177385970581,696
"E_sector_printing","pre2002","log_PFOS",851,2.11642330774952,1.29155933344668,1.63865743751904,0.102042488728782,"",0.384607024819943,841
"E_sector_printing","pre2002","log_PFOA",851,1.80953204916772,1.10891556887218,1.63180326795132,0.103710787666226,"",0.307068141628232,696
"E_sector_textile","all_years","log_PFOS",596,-0.289289667857694,1.86955971018831,-0.154736789780604,0.877104051389463,"",0.380660945352211,841
"E_sector_textile","all_years","log_PFOA",596,-0.632873738424373,1.49125592780316,-0.42438975539007,0.671568556925304,"",0.301661377558704,696
"E_sector_textile","pre2002","log_PFOS",248,3.66407021502155,2.99126028061332,1.22492523929421,0.221298190325,"",0.382856508697177,841
"E_sector_textile","pre2002","log_PFOA",248,2.02930455316131,2.76658776641003,0.733504491633956,0.463791195182902,"",0.302446058996517,696
"E_sector_waste","all_years","log_PFOS",3753,-0.00532407910356709,0.412808510763704,-0.0128972125446673,0.989715996240164,"",0.380625460766566,841
"E_sector_waste","all_years","log_PFOA",3753,0.0532704856740348,0.554446853512375,0.0960786148150551,0.923518654845318,"",0.301286140004314,696
"E_sector_waste","pre2002","log_PFOS",1042,0.560750619934287,0.696821251006529,0.804726634160922,0.421438217738662,"",0.3815902073993,841
"E_sector_waste","pre2002","log_PFOA",1042,-0.696676253145779,1.21667160469693,-0.572608295004404,0.567314558991888,"",0.301985559055783,696
"E_sector_wholesale","all_years","log_PFOS",831,-0.514400989077059,0.767222098163501,-0.67047207100575,0.502929839878111,"",0.381295400487469,841
"E_sector_wholesale","all_years","log_PFOA",831,-0.693111135801158,0.599613207794801,-1.15593040111677,0.24857734142083,"",0.304189519674285,696
"E_sector_wholesale","pre2002","log_PFOS",289,1.43170917694358,0.910186503426334,1.57298440655186,0.116484467542475,"",0.38429611318237,841
"E_sector_wholesale","pre2002","log_PFOA",289,-0.246113185684775,0.902180862337781,-0.272798056308835,0.785185516312727,"",0.30142933773522,696
"F_drop_airport","all_years","log_PFOS",20705,0.31399486826633,0.158434757358177,1.98185596078817,0.0481546906855889,"**",0.38643230261902,841
"F_drop_airport","all_years","log_PFOA",20705,0.173264014682987,0.226376402600671,0.765380192866768,0.444612854535147,"",0.302550670475581,696
"F_drop_airport","pre2002","log_PFOS",9241,0.446800920358433,0.199803807187882,2.23619823189,0.0258695677177373,"**",0.387999570720402,841
"F_drop_airport","pre2002","log_PFOA",9241,0.234717002637189,0.33994221593143,0.690461471500598,0.490407666981359,"",0.302311812665111,696
"F_drop_chemical","all_years","log_PFOS",16844,0.277397188912583,0.184684205133327,1.5020081912924,0.133855485191152,"",0.383974061044111,841
"F_drop_chemical","all_years","log_PFOA",16844,0.142091452540589,0.342189640284984,0.41524183029694,0.678244906860408,"",0.301644519215525,696
"F_drop_chemical","pre2002","log_PFOS",7482,0.510233113791287,0.228537202187977,2.23260418394204,0.0261078092966713,"**",0.387976166538661,841
"F_drop_chemical","pre2002","log_PFOA",7482,0.326447920405862,0.388687974847185,0.839871417514798,0.401611466285857,"",0.302812351052967,696
"F_drop_electronics","all_years","log_PFOS",19645,0.309033986064506,0.15594355821295,1.98170408323313,0.0481717633585834,"**",0.386431420955204,841
"F_drop_electronics","all_years","log_PFOA",19645,0.181054999627433,0.227458747930778,0.79599048739393,0.426631358073978,"",0.302655285634171,696
"F_drop_electronics","pre2002","log_PFOS",8390,0.432459293423982,0.189603702545252,2.28085890527781,0.023062899088714,"**",0.388293385836008,841
"F_drop_electronics","pre2002","log_PFOA",8390,0.299210338595447,0.322326235767777,0.928284158696334,0.353964240006069,"",0.303154159383191,696
"F_drop_metal","all_years","log_PFOS",15622,0.258816602085437,0.220010655593506,1.17638212288967,0.240116550603679,"",0.38268373896619,841
"F_drop_metal","all_years","log_PFOA",15622,0.00531306913587767,0.216645531197429,0.0245242498495659,0.980449822767021,"",0.301267178832555,696
"F_drop_metal","pre2002","log_PFOS",6410,0.577603100130753,0.301915094666408,1.91313091108929,0.0564191415303173,"*",0.386039999278392,841
"F_drop_metal","pre2002","log_PFOA",6410,-0.124752976979814,0.33805465683251,-0.369031972961768,0.712349478602303,"",0.301564964520713,696
"F_drop_paper","all_years","log_PFOS",21145,0.310792697623193,0.159455453029523,1.94908792216501,0.0519582927403476,"*",0.386243588584136,841
"F_drop_paper","all_years","log_PFOA",21145,0.189384415939806,0.22930841882399,0.825893863431031,0.409483482999097,"",0.302761413626303,696
"F_drop_paper","pre2002","log_PFOS",9372,0.430797408014158,0.19959798107557,2.15832547850799,0.0314753894528089,"**",0.38750051023918,841
"F_drop_paper","pre2002","log_PFOA",9372,0.266966062542169,0.340049519507535,0.785079958144902,0.432991183771348,"",0.302617530458695,696
"F_drop_petroleum","all_years","log_PFOS",20819,0.343493689082042,0.164618749153883,2.08660125804352,0.0375340554870528,"**",0.387055816437739,841
"F_drop_petroleum","all_years","log_PFOA",20819,0.234123445099936,0.236620889252574,0.989445377538191,0.323197535531112,"",0.30341039417938,696
"F_drop_petroleum","pre2002","log_PFOS",9258,0.456698199892977,0.205540243649199,2.22194053964651,0.0268259139868298,"**",0.387906936727558,841
"F_drop_petroleum","pre2002","log_PFOA",9258,0.254040200480538,0.353688905646934,0.718258889166658,0.473125041297256,"",0.302397587423428,696
"F_drop_plastics","all_years","log_PFOS",21087,0.325264982862861,0.172197997606679,1.8889010754109,0.0596020977239195,"*",0.385904872835384,841
"F_drop_plastics","all_years","log_PFOA",21087,0.181453449672061,0.23180213120091,0.782794570231064,0.434330300909059,"",0.302609687515268,696
"F_drop_plastics","pre2002","log_PFOS",9343,0.477591398247021,0.215924963997205,2.21183965673002,0.0275218444854052,"**",0.387841651772266,841
"F_drop_plastics","pre2002","log_PFOA",9343,0.237962212636162,0.338568351646655,0.702848365710539,0.482664454537258,"",0.302349619494052,696
"F_drop_printing","all_years","log_PFOS",19666,0.310959033232227,0.158448568265888,1.9625234650932,0.0503692749276767,"*",0.386320598542955,841
"F_drop_printing","all_years","log_PFOA",19666,0.20539359519563,0.230330295237284,0.891735040690311,0.373209203036232,"",0.303008754892123,696
"F_drop_printing","pre2002","log_PFOS",8660,0.416092461861639,0.202101529677969,2.0588288595571,0.040134214767057,"**",0.386887493822596,841
"F_drop_printing","pre2002","log_PFOA",8660,0.185016760674857,0.356708041913032,0.518678411853595,0.60434575334445,"",0.301856485172842,696
"F_drop_textile","all_years","log_PFOS",20883,0.31281108373352,0.159069517347653,1.96650551877805,0.0499062451185288,"**",0.386343520811381,841
"F_drop_textile","all_years","log_PFOA",20883,0.175391757338435,0.227469495679288,0.771056166518795,0.44124616178941,"",0.30256976150277,696
"F_drop_textile","pre2002","log_PFOS",9263,0.446477154250067,0.199816091793221,2.23444043091436,0.0259858517413513,"**",0.387988119567046,841
"F_drop_textile","pre2002","log_PFOA",9263,0.241120155658235,0.338703345345524,0.71189186340117,0.477053667156416,"",0.302377643632859,696
"F_drop_waste","all_years","log_PFOS",17726,0.291204532202731,0.175959086728178,1.65495591968254,0.0986894548226177,"*",0.384686104957143,841
"F_drop_waste","all_years","log_PFOA",17726,0.0365420162843736,0.267225399959353,0.136746043938682,0.891318066133582,"",0.301306942833091,696
"F_drop_waste","pre2002","log_PFOS",8469,0.494354663624947,0.230669734886966,2.1431275492955,0.0326837200985807,"**",0.387405081957573,841
"F_drop_waste","pre2002","log_PFOA",8469,0.0367043348133154,0.376842636854646,0.0973996337560729,0.922470394577586,"",0.301286701569886,696
"F_drop_wholesale","all_years","log_PFOS",20648,0.325432919215714,0.169378914451962,1.92133076462721,0.0553746550310119,"*",0.386086105169277,841
"F_drop_wholesale","all_years","log_PFOA",20648,0.185793766782823,0.228982267750994,0.811389321136708,0.417749017838308,"",0.302709451856175,696
"F_drop_wholesale","pre2002","log_PFOS",9222,0.468131207862505,0.212926648678175,2.19855622003452,0.0284608007511174,"**",0.38775622882405,841
"F_drop_wholesale","pre2002","log_PFOA",9222,0.226358235060621,0.339994771710261,0.665769752640549,0.506040915153764,"",0.302238443363451,696
