"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs","experiment","period","n_facilities"
"log_PFOS",0.577603100130753,0.301915094666408,1.91313091108929,0.0564191415303173,0.386039999278392,841,"F_drop_metal","pre2002",6410
"log_PFOA",-0.124752976979814,0.33805465683251,-0.369031972961768,0.712349478602303,0.301564964520713,696,"F_drop_metal","pre2002",6410
"log_PFOS",0.310792697623193,0.159455453029523,1.94908792216501,0.0519582927403476,0.386243588584136,841,"F_drop_paper","all_years",21145
"log_PFOA",0.189384415939806,0.22930841882399,0.825893863431031,0.409483482999097,0.302761413626303,696,"F_drop_paper","all_years",21145
"log_PFOS",0.430797408014158,0.19959798107557,2.15832547850799,0.0314753894528089,0.38750051023918,841,"F_drop_paper","pre2002",9372
"log_PFOA",0.266966062542169,0.340049519507535,0.785079958144902,0.432991183771348,0.302617530458695,696,"F_drop_paper","pre2002",9372
"log_PFOS",0.343493689082042,0.164618749153883,2.08660125804352,0.0375340554870528,0.387055816437739,841,"F_drop_petroleum","all_years",20819
"log_PFOA",0.234123445099936,0.236620889252574,0.989445377538191,0.323197535531112,0.30341039417938,696,"F_drop_petroleum","all_years",20819
"log_PFOS",0.456698199892977,0.205540243649199,2.22194053964651,0.0268259139868298,0.387906936727558,841,"F_drop_petroleum","pre2002",9258
"log_PFOA",0.254040200480538,0.353688905646934,0.718258889166658,0.473125041297256,0.302397587423428,696,"F_drop_petroleum","pre2002",9258
"log_PFOS",0.325264982862861,0.172197997606679,1.8889010754109,0.0596020977239195,0.385904872835384,841,"F_drop_plastics","all_years",21087
"log_PFOA",0.181453449672061,0.23180213120091,0.782794570231064,0.434330300909059,0.302609687515268,696,"F_drop_plastics","all_years",21087
"log_PFOS",0.477591398247021,0.215924963997205,2.21183965673002,0.0275218444854052,0.387841651772266,841,"F_drop_plastics","pre2002",9343
"log_PFOA",0.237962212636162,0.338568351646655,0.702848365710539,0.482664454537258,0.302349619494052,696,"F_drop_plastics","pre2002",9343
"log_PFOS",0.310959033232227,0.158448568265888,1.9625234650932,0.0503692749276767,0.386320598542955,841,"F_drop_printing","all_years",19666
"log_PFOA",0.20539359519563,0.230330295237284,0.891735040690311,0.373209203036232,0.303008754892123,696,"F_drop_printing","all_years",19666
"log_PFOS",0.416092461861639,0.202101529677969,2.0588288595571,0.040134214767057,0.386887493822596,841,"F_drop_printing","pre2002",8660
"log_PFOA",0.185016760674857,0.356708041913032,0.518678411853595,0.60434575334445,0.301856485172842,696,"F_drop_printing","pre2002",8660
"log_PFOS",0.31281108373352,0.159069517347653,1.96650551877805,0.0499062451185288,0.386343520811381,841,"F_drop_textile","all_years",20883
"log_PFOA",0.175391757338435,0.227469495679288,0.771056166518795,0.44124616178941,0.30256976150277,696,"F_drop_textile","all_years",20883
"log_PFOS",0.446477154250067,0.199816091793221,2.23444043091436,0.0259858517413513,0.387988119567046,841,"F_drop_textile","pre2002",9263
"log_PFOA",0.241120155658235,0.338703345345524,0.71189186340117,0.477053667156416,0.302377643632859,696,"F_drop_textile","pre2002",9263
"log_PFOS",0.291204532202731,0.175959086728178,1.65495591968254,0.0986894548226177,0.384686104957143,841,"F_drop_waste","all_years",17726
"log_PFOA",0.0365420162843736,0.267225399959353,0.136746043938682,0.891318066133582,0.301306942833091,696,"F_drop_waste","all_years",17726
"log_PFOS",0.494354663624947,0.230669734886966,2.1431275492955,0.0326837200985807,0.387405081957573,841,"F_drop_waste","pre2002",8469
"log_PFOA",0.0367043348133154,0.376842636854646,0.0973996337560729,0.922470394577586,0.301286701569886,696,"F_drop_waste","pre2002",8469
"log_PFOS",0.325432919215714,0.169378914451962,1.92133076462721,0.0553746550310119,0.386086105169277,841,"F_drop_wholesale","all_years",20648
"log_PFOA",0.185793766782823,0.228982267750994,0.811389321136708,0.417749017838308,0.302709451856175,696,"F_drop_wholesale","all_years",20648
"log_PFOS",0.468131207862505,0.212926648678175,2.19855622003452,0.0284608007511174,0.38775622882405,841,"F_drop_wholesale","pre2002",9222
"log_PFOA",0.226358235060621,0.339994771710261,0.665769752640549,0.506040915153764,0.302238443363451,696,"F_drop_wholesale","pre2002",9222
