"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs","experiment","period","n_facilities"
"log_PFOS",0.596214543775818,0.731405875876925,0.815162365302277,0.415446941356261,0.381615357606755,841,"E_sector_petroleum","pre2002",253
"log_PFOA",-1.61904328739747,0.852851779250919,-1.89838765279884,0.0585502181699671,0.309095834413447,696,"E_sector_petroleum","pre2002",253
"log_PFOS",-1.28662508355192,0.732719556731149,-1.75595843147942,0.0798331517208963,0.385193138623828,841,"E_sector_plastics","all_years",392
"log_PFOA",-1.28745919833205,0.722512666088888,-1.78191920883731,0.0757165533237543,0.308173755556708,696,"E_sector_plastics","all_years",392
"log_PFOS",3.66842511758879,1.51173054401302,2.42663954374477,0.015664396169072,0.38929077826746,841,"E_sector_plastics","pre2002",168
"log_PFOA",3.5588206064791,2.39901444655899,1.48345109450411,0.138945015663425,0.306068013188627,696,"E_sector_plastics","pre2002",168
"log_PFOS",-2.93451178097838,1.25003141240308,-2.34755043102238,0.0193662553173446,0.388742408473866,841,"E_sector_printing","all_years",1813
"log_PFOA",-0.599504646650882,0.930178609887611,-0.644504872804286,0.519712731381623,0.302177385970581,696,"E_sector_printing","all_years",1813
"log_PFOS",2.11642330774952,1.29155933344668,1.63865743751904,0.102042488728782,0.384607024819943,841,"E_sector_printing","pre2002",851
"log_PFOA",1.80953204916772,1.10891556887218,1.63180326795132,0.103710787666226,0.307068141628232,696,"E_sector_printing","pre2002",851
"log_PFOS",-0.289289667857694,1.86955971018831,-0.154736789780604,0.877104051389463,0.380660945352211,841,"E_sector_textile","all_years",596
"log_PFOA",-0.632873738424373,1.49125592780316,-0.42438975539007,0.671568556925304,0.301661377558704,696,"E_sector_textile","all_years",596
"log_PFOS",3.66407021502155,2.99126028061332,1.22492523929421,0.221298190325,0.382856508697177,841,"E_sector_textile","pre2002",248
"log_PFOA",2.02930455316131,2.76658776641003,0.733504491633956,0.463791195182902,0.302446058996517,696,"E_sector_textile","pre2002",248
"log_PFOS",-0.00532407910356709,0.412808510763704,-0.0128972125446673,0.989715996240164,0.380625460766566,841,"E_sector_waste","all_years",3753
"log_PFOA",0.0532704856740348,0.554446853512375,0.0960786148150551,0.923518654845318,0.301286140004314,696,"E_sector_waste","all_years",3753
"log_PFOS",0.560750619934287,0.696821251006529,0.804726634160922,0.421438217738662,0.3815902073993,841,"E_sector_waste","pre2002",1042
"log_PFOA",-0.696676253145779,1.21667160469693,-0.572608295004404,0.567314558991888,0.301985559055783,696,"E_sector_waste","pre2002",1042
"log_PFOS",-0.514400989077059,0.767222098163501,-0.67047207100575,0.502929839878111,0.381295400487469,841,"E_sector_wholesale","all_years",831
"log_PFOA",-0.693111135801158,0.599613207794801,-1.15593040111677,0.24857734142083,0.304189519674285,696,"E_sector_wholesale","all_years",831
"log_PFOS",1.43170917694358,0.910186503426334,1.57298440655186,0.116484467542475,0.38429611318237,841,"E_sector_wholesale","pre2002",289
"log_PFOA",-0.246113185684775,0.902180862337781,-0.272798056308835,0.785185516312727,0.30142933773522,696,"E_sector_wholesale","pre2002",289
